title	citation	bulletPoints	image	authors	date	keywords	link
A quantitative assessment of the status of reef fish communities from a large-scale probability survey in southern Florida	Grove, L. J. W., Smith, S. G., Blondeau, J., & Ault, J. S. (2024). A quantitative assessment of the status of reef fish communities from a large-scale probability survey in southern Florida. Bulletin of Marine Science, 100(2), 239-258.	Ecosystem-scale evaluation of reef fish community status in southern Florida, distinguishes anthropogenic impacts from habitat productivity, identifies habitat quality and fishing issues	https://drive.google.com/file/d/1tDGBLccgTNCvc1al7A1KrhtlqltcoJj0/view?usp=drive_link	Laura Jay Grove, Steven Smith, Jeremiah Blondeau, Jerald Ault	2024-04-01	Reef fish communities, Southern Florida, Probability survey, Ecosystem assessment, Coral reefs, Human impacts, Habitat quality, Fishing pressure, Urbanization gradient, Dry Tortugas	https://doi.org/10.5343/bms.2023.0020
Expansion of an established fishery-independent survey into the US Virgin Islandsʼ upper mesophotic zone: feasibility and management implications	Grove, L. J. W., Blondeau, J., Swanson, D. W., Heidmann, S. L., Smith, S. G., Johnson, M. W., ... & Smith, T. B. (2024). Expansion of an established fishery-independent survey into the US Virgin Islands' upper mesophotic zone: feasibility and management implications. Bulletin of Marine Science, 100(2), 113-132.	DCRMP utilizes similar survey designs as NCRMP to expand the NCRMP survey depth (0m-30m) to upper mesophotic reef habitat (30m-50m), DCRMP showed larger lengths for fishes at deeper depths, DCRMP represents first step towards fishery-independent survey expansion in the US Caribbean	https://drive.google.com/file/d/1tExJa-nPKPQjNp-yvwlZx3Lkpt-qW_ki/view?usp=sharing	Laura Jay Grove, Jeremiah Blondeau, Dione Swanson, Sarah Heidmann, Steven Smith, Matthew Johnson, Viktor Brandtneris, Skyler Sagarese, Tyler Smith	2024-04-01	Fishery-independent survey, Upper mesophotic zone, US Virgin Islands, Deep Coral Reef Monitoring Program (DCRMP), National Coral Reef Monitoring Program (NCRMP), Fisheries management, Reef fish communities, Stock assessment, Habitat stratification, Survey methodology	https://doi.org/10.5343/bms.2023.0013
Depth and structure as environmental drivers of fish communities across a shallow to mesophotic gradient in the northern US Virgin Islands	Heidmann, S. L., Olinger, L. K., Brandtneris, V. W., Ennis, R. S., Blondeau, J., Grove, L. J. W., & Smith, T. B. (2024). Depth and structure as environmental drivers of fish communities across a shallow to mesophotic gradient in the northern US Virgin Islands. Bulletin of Marine Science, 100(2), 133-154.	Utilizes survey data from NCRMP and DCRMP to understand fish communities across the seascape in the USVI, uses four trophic fish groups (herbivore, invertivore, planktivore, piscivore, explores trophic group trends across depth and hard relief	https://drive.google.com/file/d/1l_jfeXdHxF468hbJWQ0TEI0oXIPF2Twt/view?usp=drive_link	Sarah Heidmann, Lauren Olinger, Viktor Brandtneris, Rosmin Ennis, Jeremiah Blondeau, Laura Jay Grove, Tyler Smith	2024-04-01	Depth gradient, Fish communities, Mesophotic coral ecosystems (MCEs), US Virgin Islands, Reef fish diversity, Habitat structure, Fisheries management, Trophic groups, Environmental drivers, Stock assessment, National Coral Reef Monitoring Program (NCRMP), Deep Coral Reef Monitoring Program (DCRMP)	https://doi.org/10.5343/bms.2023.0022
Quantifying hurricane impacts on United States Virgin Islands reef fishes using a catchability invariant approach to compare uncalibrated survey indices	Langwiser, C., Vaughan, N. R., & Grove, L. J. W. (2024). Quantifying hurricane impacts on United States Virgin Islands reef fishes using a catchability invariant approach to compare uncalibrated survey indices. Bulletin of Marine Science, 100(2), 185-210.	Hurricane impacts on fish, standardization of two survey methods, significant disturbance impacts observed in St. Croix	https://drive.google.com/file/d/1I3Jgfknd0U5FTHFg1recK1RqWsLrDUEH/view?usp=drive_link	Caitlin Langwiser, Nathan Vaughan, Laura Jay Grove	2024-04-01	USVI, St. John, St Croix, St. Thomas, disturbance, hurricane, calibration, belt transect, site allocation, Irma, Maria	https://doi.org/10.5343/bms.2023.0011
A quantitative assessment of the status of benthic communities on US Atlantic coral reefs using a novel standardized approach	Viehman, S. T., Groves, S. H., Grove, L. J. W., Smith, S. G., Mudge, L., Donovan, C., ... & Towle, E. K. (2024). A quantitative assessment of the status of benthic communities on US Atlantic coral reefs using a novel standardized approach. Bulletin of Marine Science, 100(2), 283-306.	Categorization of benthic community health, impacts of SCTLD, coral mortality, repeatable quantitative ecosystem assesment	https://drive.google.com/file/d/1sKzy4xwgrF5ZAZWNP19dElFGr4igUET5/view?usp=drive_link	Shay Viehman, Sarah Groves, Laura Jay Grove, Steven Smith, Laura Mudge, Caroline Donovan, Kimberly Edwards, Erica Towle	2024-04-01	Florida, USVI, St. John, St. Thomas, St. Croix, Flower Garden Banks, SCTLD, Stony Coral Tissue Loss Disease, coral, benthic, indicator, historic, baseline, status, algae, macroalgae, habitat	https://doi.org/10.5343/bms.2022.0025
Integrating the U.S. Caribbean reef-fish visual census into fishery stock assessments	Ault, J. S., Blondeau, J., Grove, L. J. W., Cass-Calay, S. L., & McCarthy, K. J. (2024). Integrating the US Caribbean reef fish visual census into fishery stock assessments. Bulletin of Marine Science, 100(2), 283-312.	Assesment of queen triggerfish stock in Puerto Rico, Fishery-independent surveys to generate population indiactor variables, RVC as a reference calibration for FD data	https://drive.google.com/file/d/1GBBRfSGsV0875qpPhmJ-_m4KdxwW-UFm/view?usp=drive_link	Jerald Ault, Jeremiah Blondeau, Laura Jay Grove, Shannon Cass-Calay, Kevin McCarthy	2024-04-01	Puerto Rico, queen triggerfish, stock assesment, RVC, GCF, gear correction factor, SEDAR, single species, abundance, calibration, BLT, belt-transect, stock, biomass	https://doi.org/10.5343/bms.2023.0025
The Reef Visual Census: a review of an essential long-term data source for reef-fish management in Florida	Keller, J. A., Renchen, J., Herbig, J., Hunt, J., & Acosta, A. (2024). The Reef Visual Census: a review of an essential long-term data source for reef-fish management in Florida. Bulletin of Marine Science, 100(2), 313-332.	Applications of RVC data, Outcomes of long-term collaborative parterships, Future uses of RVC data	https://drive.google.com/file/d/1JLKAmHaeyNBDiszYXHp0ZWUrTh8ehauQ/view?usp=drive_link	Jessica Keller, Jeffrey Renchen, Jennifer Herbig, John Hunt, Alejandro Acosta	2024-04-01	RVC, Reef Visual Census, Florida, Biscayne National Park, Western Dry Rocks, partnerships, Dry Tortugas, Florida Keys, SEDAR, stock assesment	https://doi.org/10.5343/bms.2023.0028
Regional reef fish assemblage maps provide baseline biogeography for tropicalization monitoring	Walker, B. K., Fisco Becker, D., Williams, G. J., Kilfoyle, A. K., Smith, S. G., & Kozachuk, A. (2024). Regional reef fish assemblage maps provide baseline biogeography for tropicalization monitoring. Scientific Reports, 14(1), 7893.	Fish communities along Bahamas Fracture Zone, tropicalization of southern Florida fish, impacts of rising sea temps. on fish	https://drive.google.com/file/d/1T_k_HYBeWhfRJA79P2xt1gSYa2IjQTRp/view?usp=sharing	Brian Walker, Dana Fisco Becker, Gareth Williams, Audie Kilfoyle, Steven Smith, Allie Kozachuk	2024-04-03	Climate change, Florida, Palm Beach, Martin, BFZ, Bahamas Fracture Zone, RVC, assemblage, habitat, depth, tropicalization	https://doi.org/10.1038/s41598-024-58185-6
Distribution and abundance of herbivorous reef fishes on a barrier reef system in the Florida Keys and Dry Tortugas	Herbig, J. L., Olson, J. C., Keller, J. A., Grove, L. J. W., Shea, C. P., & Acosta, A. (2024). Distribution and abundance of herbivorous reef fishes on a barrier reef system in the Florida Keys and Dry Tortugas, Florida. Bulletin of Marine Science, 100(2), 211-238.	Holistic view of herbivore communities in Florida, habiat use of herbivorous fish groups, ecosystem services of herbivores on reefs	https://drive.google.com/file/d/1wut5xOYxYXpcB_zkYfScCERiIY9g9gfq/view?usp=drive_link	Jennifer Herbig, Jack Olson, Jessica Keller, Laura Jay Grove, Colin Shea, Alejandro Acosta	2024-04-01	Herbivory, Florida, Florida Keys, Dry Tortugas, damselfish, surgeonfish, angelfish, herbivore, coral, coral cover, algae, macroalgae, habitat, diet	https://doi.org/10.5343/bms.2022.0013
Low net carbonate accretion characterizes Florida’s coral reef	Morris, J. T., Enochs, I. C., Besemer, N., Viehman, T. S., Groves, S. H., Blondeau, J., ... & Manzello, D. P. (2022). Low net carbonate accretion characterizes Florida’s coral reef. Scientific Reports, 12(1), 19582.	Quantifying reef persistence, erosional state of Florida reefs, drivers of reef development 	https://drive.google.com/file/d/1UXEUvtgFrJ0SzNv78oiooZ2C5tIpub7G/view?usp=drive_link	John Morris, Ian Enochs, Nicole Besemer, Shay Viehman, Sarah Groves, Jeremiah Blondeau, Cory Ames, Erica Towle, Laura Jay W. Grove, Derek Manzello	2022-11-15	Carbonate, calcification, parrotfish, urban, Florida, Florida Keys, Southeast Florida, Dry Tortugas, erosion, structure, habitat	 https://doi.org/10.1038/s41598-022-23394-4
