A short overview of the event. Must be 50 characters or less A short overview of the event. Must be 50 characters or less	 A description of the event	 If there is media associated with the event, describe the type. If none, put null. Must be image, video, or audio 	 The media that is visible to  users. Provide the name of the file and put the file in the media folder 	 An icon that is visible on the timeline preview. Input the name of the icon or input "image" to use the image associated with the  event, null if none.	 The date the event occured in MM-DD-YYYY format	The region the event was a part of:   caribbean  florida all	Credit for who  took the photo	https://www.coris.noaa.gov/activities/capacity_assessment/usvitimeline.pdf
preview	description	mediaType	media	icon	date	region	credit	
First lighthouses	First still standing lighthouses constructed in the Florida Keys (Key Biscayne and Key West)	image	CapeFLLight.jpg	lighthouse.svg	01-01-1846	florida	Florida State Parks	
Fort Jefferson	Construction of Fort Jefferson on Garden Key began taking nearly 30 years to complete. The "Guardian of the Gulf" was used by the Union Navy in the Civil War to blockade southern shipping routes. Learn more about Fort Jefferson here. 	image	Copy of FLNCRMP_Henderson_20240530_0046.jpg	fort.svg	12-01-1846	florida	Leslie Henderson	
US Commission of Fish and Fisheries	First federal agency that sought to research and manage fisheries in US waters. 	image	FishandFisheries.png	fishing_boat.svg	01-01-1871	all		
Alligator Reef Light	Named after the Schooner Alligator that was part of the US Navy’s anti-piracy squadron based in Key West. Today, it is one of the FKNMS Sanctuary Preservation Areas (SPAs) located in the middle Keys. 	image	Alligator.jpg	lighthouse.svg	01-01-1873	florida	Officer Scott LaRosa Florida FWC	
Treaty of Paris	The end of the Spanish-American War. Spain cedes Puerto Rico, Guam, and the Philippines to the United States.	image		puerto_rico_flag.svg	1-1-1898	caribbean		
Overseas Railway 	Completion of the overseas railway that connected South Florida to Key West. It remained in operation until its destruction in 1935 by the "Storm of the Century", a category 5 hurricane.	image	OverseasRailway.jpg	train-track.svg	01-01-1912	florida	Key West News Co, 1900	
USVI 	The US Virgin Islands (St. Thomas, St. Croix, and St. John) are purchased from Denmark.  Before the sale to the US, the USVI was a major center for sugar plantations that were worked by enslaved Africans.   			us-virgin-islands-flag.svg	01-01-1917	caribbean		
Overseas Highway	After its destruction in 1935, the State of Florida purcahsed the overseas reailway. In 1938, the construction to convert the railway into a 113 mile roadway was completed.	image	OverseasHighway.jpg	us1.svg	01-01-1938	florida	Burgert Brothers Collection, 1947	
Everglades National Park 	Everglades National Park was founded in 1947 to protect the unique and fragile ecosystem of the Everglades, which was threatened by drainage projects, agriculture, and development. The park preserves vital wetlands that support diverse wildlife, including wading birds, alligators, and the endangered Florida panther, while also safeguarding the region’s water resources. The Everglades watershed provides essential nutrients to Florida Bay which supports a wide variety of commercially and recreationally important species.	image	Everglades.jpg	alligator.svg	01-01-1947	florida	NPS Photo by S.Cotrell	
Virgin Islands National Park	Virgin Islands National Park, established in 1956, protects the natural beauty and cultural heritage of St. John, including pristine beaches, coral reefs, and tropical forests. The park also preserves historical sites such as pre-Columbian petroglyphs and colonial-era ruins, while supporting diverse marine and terrestrial wildlife.	image	USVINP.jpg	island.svg	01-01-1956	caribbean	National Parks Service	
John Pennekamp Coral Reef State Park	John Pennekamp Coral Reef State Park, opened in 1963, was the first underwater park in the United States, protecting part of the Florida Reef—the only living coral barrier reef in the continental U.S. The park's seagrass beds, mangroves, and vibrant coral reefs provide critical habitat for diverse marine life and offer visitors opportunities for snorkeling, diving, and boating.	image	Jpk.jpeg	reef.svg	01-01-1963	florida	Florida State Parks	
Buck Island National Monument	Buck Island Reef National Monument, located off the coast of St. Croix in the U.S. Virgin Islands, was established in 1961 to protect its vibrant coral reef ecosystem and diverse marine life. The monument features an underwater snorkeling trail, white sandy beaches, and nesting sites for endangered sea turtles, making it a critical conservation area and popular destination for eco-tourism.	image	Buck.jpg	island.svg	01-01-1961	caribbean	National Parks Service	
Bahia Honda State Park	Bahia Honda State Park is established in 1961. Located at the Southern end of the 7-mile bridge, the island was an important staging ground for the construction of the Overseas Railway and later the highway.	image	BahiaHonda.jpeg	beach.svg	06-01-1961	florida	Florida State Parks	
Endangered Species Act	The Endangered Species Act (ESA), passed in 1973, is a key U.S. law designed to protect and recover species at risk of extinction. It provides a framework for listing species as endangered or threatened, designating critical habitats, and implementing conservation plans to safeguard these species and their ecosystems.	image		law.svg	01-01-1969	all		
Marine Mammal Protection Act	The Marine Mammal Protection Act (MMPA), passed in 1972, is a U.S. law aimed at protecting marine mammal species and their habitats. The act prohibits the hunting, capturing, or harassment of marine mammals, while promoting the conservation and management of marine mammal populations through research, monitoring, and conservation efforts.	image		law.svg	01-01-1972	all		
White Band Disease	White band disease, a coral disease that effects acroporids, is documented for the first time in colonies of elkhorn and staghorn corals at Tague Bay, St. Croix	image	WBD.jpg	coral.svg	01-01-1975	all	NOAA Coral Disease and Health Consortium	
Key Largo National Marine Sanctuary	Existing from 1975-1990, the Key Largo National Marine Sanctuary preceded the Florida Keys National Marine sanctuary and protected the waters from Carysfort reef to Molases reef.	image		buoy.svg	01-01-1975	florida		
Magnuson-Stevens Fishery Conservation Act	The Magnuson-Stevens Fishery Conservation and Management Act, enacted in 1976, is the primary law governing marine fisheries management in U.S. federal waters. It established the Exclusive Economic Zone (EEZ) out to 200 nautical miles and created eight Regional Fishery Management Councils to develop science-based fishery management plans.	image		fishing_boat.svg	01-01-1976	all		
Biscayne National Park	Designated a national park in 1980, Biscayne National Park was created to protect the ecologically significant and increasingly threatened marine and coastal ecosystems of southern Biscayne Bay. Positioned at the northern extent of the Florida Coral Reef, the park encompasses coral reefs, seagrass beds, and mangrove forests, providing critical habitat for a high diversity of reef-associated species.	image	BocaChita.jpg	null	01-01-1980	florida	National Parks Service	
Looe Key National Marine Sanctuary	​Looe Key National Marine Sanctuary was designated in 1981, to protect a heavily utilized coral reef in the Lower Florida Keys, renowned for its biodiversity and popularity among divers . The sanctuary encompassed 5.3 square nautical miles, featuring spur-and-groove reef formations that supported diverse coral and fish communities . In 1990, it was incorporated into the Florida Keys National Marine Sanctuary.	image	fknms-looekey-shawnverne-1200.jpg	buoy.svg	01-01-1981	florida	Shawn Verne, NOAA	
Snapper-Grouper Fishery Management Plan	The Snapper-Grouper Fishery Management Plan (FMP), established in 1983 by the South Atlantic Fishery Management Council (SAFMC), governs the management of 55 species—including snappers, groupers, porgies, tilefish, and sea basses—across federal waters from North Carolina to the Florida Keys. 	image		fishing_boat.svg	01-01-1983	florida		
Oculina Bank Habitat Area of Particular Concern (OHAPC)	The Oculina Bank Habitat Area of Particular Concern (OHAPC), designated in 1984 by the South Atlantic Fishery Management Council to protect the unique deep-water coral ecosystem of Oculina varicosa, was expanded twice to enhance conservation efforts. In 2000, the area grew to 300 square nautical miles, and in 2015, it was further expanded by 343.42 square miles, bringing the total protected area to approximately 632.42 square miles. The OHAPC was the first marine protected area on the U.S. East Coast federal waters established specifically to protect habitat, setting a precedent for habitat-focused conservation efforts in the region .​	image	oculina-hapc-hires.jpg	null	01-01-1984	florida		
Queen Conch Harvest Closed	Queen conch (strombus gigas) harvest was prohibited in Florida state waters in 1986 and is banned year-round in most U.S. Caribbean federal waters, with seasonal closures in select areas like Lang Bank near St. Croix.	image		null	01-01-1986	all		
Florida Keys National Marine Sanctuary (FKNMS)	The Florida Keys National Marine Sanctuary (FKNMS) was established on November 16, 1990, to protect the region's unique and valuable marine resources. This designation responded to mounting ecological threats, including coral reef degradation, seagrass die-offs, and declining water quality . Encompassing approximately 2,900 square nautical miles, the sanctuary includes North America's only coral barrier reef.	image	GroveJB_RH.JPG	buoy.svg	11-16-1990	florida	NOAA Fisheries Photo by Jay Grove	
Goliath Grouper Harvest Closed	​The harvest of goliath grouper (epinephelus itajara) was prohibited in U.S. federal and Florida state waters in 1990 due to severe population declines from overfishing.	image	CainGG.JPG	fishing_boat.svg	06-01-1990	all	NOAA Fisheries Photo by Erin Cain	
Nassua Grouper Harvest Closed	Nassau grouper (epinephelus striatus) harvest was prohibited in U.S. federal and Florida state waters in 1990 in response to population declines from overfishing. 	image	Nassa1.jpg	fishing_boat.svg	12-01-1990	all	Jiangang Luo	
Goliath Grouper listed as an ESA species of concern	Goliath grouper (epinephelus itajara), were listed as an ESA species of concern in 1991. The species was later removed from the list in 2006. 	image	goliath_FLNCRMP_Henderson_20240611_0025.jpg	null	01-01-1991	all	Leslie Henderson	
Dry Tortugas National Park	Dry Tortugas National Park was established in 1992 to protect the remote, ecologically rich islands and surrounding coral reef ecosystems located about 70 miles west of Key West, Florida. The park encompasses critical marine habitats including coral reefs, seagrass beds, and nesting sites for seabirds and sea turtles.	image	IMG_1284 (1).null	null	01-01-1992	florida	NOAA Fisheries	
Hurricane Andrew	Hurricane Andrew made landfall in South Florida on August 24, 1992, as a Category 5 storm, causing catastrophic damage to coastal infrastructure and marine ecosystems. The storm severely impacted coral reef structures, seagrass beds, and mangrove habitats across the Florida Keys and Biscayne Bay. Its aftermath prompted extensive NOAA-led ecological assessments and long-term monitoring efforts to evaluate ecosystem recovery and resilience in the region.	image	1992andy1.jpg	hurricane.svg	08-01-1992	florida	National Hurricane Center	
FKNMS Management Plan 	​The 1997 Florida Keys National Marine Sanctuary (FKNMS) Management Plan, established a comprehensive framework to protect the region's marine resources. It introduced five types of marine zones—Sanctuary Preservation Areas, Ecological Reserves, Special-Use Areas, Wildlife Management Areas, and Existing Management Areas—to reduce user conflicts, safeguard critical habitats, and support species conservation. The plan also formalized cooperative management agreements between NOAA and the State of Florida, setting the foundation for future collaborative relationships  (including NCRMP).	image		null	01-01-1997	florida		
Tortugas Ecological Reserves in FKNMS	​The Tortugas Ecological Reserve, established in  2001, is a 151-square-nautical-mile no-take marine reserve located approximately 70 miles west of Key West, Florida. It is comprised of two sections—Tortugas North and Tortugas South.	image		null	7-1-2001	florida		
Coral Reef Conservation Act	​The Coral Reef Conservation Act (CRCA) of 2000, established the NOAA Coral Reef Conservation Program (CRCP) to protect, conserve, and restore U.S. coral reef ecosystems. The CRCA mandates the development of a National Coral Reef Action Strategy, which outlines priorities for coral reef conservation, including enhancing scientific understanding, reducing threats, and improving management practices.	image	coral-id-1_300dpi.jpg	null	04-01-2000	florida		
Acropora Species listed as Threatened	In 2006, two species of Acropora corals—elkhorn coral (Acropora palmata) and staghorn coral (Acropora cervicornis)—were listed as threatened under the Endangered Species Act (ESA) due to significant declines in population caused by disease, warmer water temperatures, ocean acidification, and habitat degradation. The listing applies to U.S. waters, including the Florida Keys, Puerto Rico, and the U.S. Virgin Islands, and is intended to facilitate recovery efforts, such as habitat protection and restoration programs, as well as further research on coral resilience and reproduction.	image	8110 Acrop Palmata (1).JPG	null	01-01-2006	all	Biscayne National Park	
Research Natural Area (RNA) of Dry Tortugas National Park		image		null	01-01-2007	florida		
22 corals listed as threatened/endangedered	In 2014, NOAA listed 20 additional coral species as threatened under the Endangered Species Act, including five Atlantic species such as pillar coral (Dendrogyra cylindrus) and three Orbicella species that are critical reef builders in the Caribbean. The remaining 15 species are found in the Indo-Pacific, reflecting the global scale of coral decline.	image		law.svg	01-01-2014	all		
Nassau Grouper listed as Threatened	In 2016, NOAA Fisheries listed the Nassau grouper (epinephelus striatus) as threatened under the Endangered Species Act (ESA), citing significant population declines due to overfishing, particularly at spawning aggregations, and inadequate law enforcement. In response, NOAA designated over 900 square miles of critical habitat on in 2024, encompassing areas off southeastern Florida, Puerto Rico, Navassa, and the U.S. Virgin Islands.	image	fish-nassau-grouper.svg	fishing_boat.svg	01-01-2016	all		
Hurricane Maria	Hurricane Maria was a devastating Category 4 storm that made landfall in Puerto Rico on September 20, 2017, causing widespread destruction and triggering a prolonged humanitarian crisis. The storm severely damaged infrastructure, collapsed the power grid, and resulted in nearly 3,000 deaths. It also caused extensive environmental impacts, including deforestation, coastal erosion, and widespread damage to coral reefs and marine ecosystems.	image	Maria.jpg	hurricane.svg	09-20-2017	caribbean		
Major Red Tide Events	The 2017–2019 red tide bloom in Florida was one of the most prolonged and intense harmful algal bloom (HAB) events in recent history. Caused by the dinoflagellate Karenia brevis, the bloom persisted for over 16 months and affected more than 400 miles of coastline, primarily along the southwest coast. It resulted in massive fish kills, the deaths of hundreds of marine mammals and sea turtles, and significant respiratory irritation for coastal residents and tourists. The event also caused widespread economic losses due to beach closures, reduced tourism, and impacts on commercial fisheries. Environmental stressors such as warm water temperatures, nutrient runoff, and calm ocean conditions likely contributed to the bloom’s severity and duration.	image	Copy of NCCOS - Red-tide-off-Little-Gasparilla-Island-FL-credit-Paul Schmidt.jpg	null	11-01-2017	florida	Paul Schmidt	
Port of Miami Deep Dredge	The Port of Miami Deep Dredge project, completed between 2013 and 2015, deepened the shipping channel to accommodate larger vessels following the Panama Canal expansion. However, the dredging caused significant environmental damage, including the burial of coral reefs and the loss of over half a million corals due to sediment plumes.	image	MiamiWaterkeeper.png	null	01-01-2013	florida	Miami Waterkeeper	
Global Coral Bleaching	The 2014–2017 global coral bleaching event, affected over 70% of the world’s coral reefs. Triggered by prolonged ocean warming and a strong El Niño, it caused severe and repeated bleaching across the Pacific, Indian, and Atlantic Oceans. Many reefs, including those in the Great Barrier Reef, Hawaii, and the Caribbean, experienced extensive coral mortality, with limited time for recovery between bleaching episodes.	image	2014bleach.jpg	null	01-01-2014	all		
Stony Coral Disease with Tissue Loss (SCTLD)	SCTLD was first reported off the coast of Florida in 2014, and since then has spread throughout the Caribbean. The disease affects more than 20 coral species and has rapidly reduced coral cover in the Caribbean.	image	SCTLD.png	null	01-01-2014	all		
Global Coral Bleaching	Beginning in 2023, and still ongoing as of April 2025, this global bleaching event is the biggest to date. Bleaching-level heat stress has impacted 83.7% of the world’s coral reef area.	image	2023Bleach.png	null	01-01-2023	all		
Goliath Grouper Open for Limited Harvest	In 2023, FWC reopened the harvest of goliath grouper for the first time in US waters since the moratorium in the 1990s. Each year, fishers can pay $10 to enter the lottery where names are randomly drawn to select the 200 tag ‘winners.’  If selected, the cost for the tag is $150 for in-state residents and $500 for out-of-state fishers.  The allowable harvest period for tag holders is between March 1st and May 31st in designated waters. Goliath grouper can only be harvested if they are within the specified 24 – 36 inch (61 – 91 cm) slot.	image	fwcGoliath.jpg	fishing_boat.svg	01-01-2023	florida		Florida Fish and Wildlife Conservation Commission 
Hurricane Irma	Hurricane Irma was a powerful and long-lasting Category 5 hurricane that swept through the Caribbean in early September 2017, leaving a trail of destruction across several island nations before impacting Florida. With sustained winds of up to 185 mph, Irma obliterated homes, decimated infrastructure, and displaced thousands of residents. The storm caused catastrophic flooding and storm surge, particularly in the Florida Keys, and inflicted significant damage on natural habitats, including mangroves, seagrass beds, and coral reef systems.	image		hurricane.svg	09-01-2017			
Kristen Jacobs Coral Aquatic Preserve	Established in 2020, the Kristen Jacobs Coral Reef Ecosystem Conservation Area spans nearly 100 miles along southeast Florida’s coast. Named in honor of environmental champion Rep. Kristen Jacobs, the area protects critical coral reefs, seagrass beds, and marine habitats, supporting biodiversity, coastal resilience, and scientific research.	image		null	01-01-2020			
